"initial_alias","converted_alias","name","description","namespace"
"YIR019C","P08640","YIR019C","GPI-anchored cell surface glycoprotein (flocculin); required for pseudohyphal and invasive growth, flocculation, and biofilm formation; major determinant of colony morphology; transcription regulated by the MAPK pathway (Ste12p and Tec1p) and the cAMP pathway (Flo8p); required for formation of fibrous interconnections between cells of a wild strain; role in co-flocculation with other yeast species; cleaved and shed from cells, contributing to their surface properties [Source:SGD;Acc:S000001458]","ENSG,ENSP"
"YPL199C","Q08954","YPL199C","Putative protein of unknown function; predicted to be palmitoylated [Source:SGD;Acc:S000006120]","ENSG,ENSP"
"YCR005C","P08679","CIT2","Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication [Source:SGD;Acc:S000000598]","ENSG,ENSP"
"YCL008C","P25604","STP22","Component of the ESCRT-I complex; ESCRT-I is involved in ubiquitin-dependent sorting of proteins into the endosome; prevents polyubiquitination of the arrestin-related protein Rim8p, thereby directing its monoubiquitination by Rsp5p; homologous to the mouse and human Tsg101 tumor susceptibility gene; mutants exhibit a Class E Vps phenotype; [Source:SGD;Acc:S000000514]","ENSG,ENSP"
"YBR158W","P38285","AMN1","Protein required for daughter cell separation; multiple mitotic checkpoints, and chromosome stability; contains 12 degenerate leucine-rich repeat motifs; expression is induced by the Mitotic Exit Network (MEN) [Source:SGD;Acc:S000000362]","ENSG,ENSP"
"YCL051W","P25579","LRE1","Protein involved in control of cell wall structure and stress response; direct inhibitor of the nuclear Dbf2 related (NDR) kinase Cbk1p-Mob2p; overproduction confers resistance to cell-wall degrading enzymes; exhibits genetic interactions with genes involved in the cell wall integrity pathway; LRE1 has a paralog, HLR1, that arose from the whole genome duplication [Source:SGD;Acc:S000000556]","ENSG,ENSP"
"YER072W","P40046","VTC1","Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; VTC complex is involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000000874]","ENSG,ENSP"
"YLR401C","Q06053","DUS3","Dihydrouridine synthase; member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus4p; contains a consensus oleate response element (ORE) in its promoter region; forms nuclear foci upon DNA replication stress [Source:SGD;Acc:S000004393]","ENSG,ENSP"
"YER059W","P40038","PCL6","Pho85p cyclin of the Pho80p subfamily; forms the major Glc8p kinase together with Pcl7p and Pho85p; involved in the control of glycogen storage by Pho85p; stabilized by Elongin C binding; PCL6 has a paralog, PCL7, that arose from the whole genome duplication [Source:SGD;Acc:S000000861]","ENSG,ENSP"
"YBR194W","P38305","AIM4","Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress [Source:SGD;Acc:S000000398]","ENSG,ENSP"
"YPR165W","P06780","RHO1","GTP-binding protein of the rho subfamily of Ras-like proteins; involved in establishment of cell polarity; regulates protein kinase C (Pkc1p) and the cell wall synthesizing enzyme 1,3-beta-glucan synthase (Fks1p and Gsc2p) [Source:SGD;Acc:S000006369]","ENSG,ENSP"
"YMR192W","Q04322","GYL1","Putative GTPase activating protein (GAP) with a role in exocytosis; stimulates Gyp5p GAP activity on Ypt1p, colocalizes with Gyp5p at sites of polarized growth; interacts with Gyp5p, Rvs161p, and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; increases in abundance and relocalizes from bud neck to cytoplasm upon DNA replication stress; GYL1 has a paralog, GYP5, that arose from the whole genome duplication [Source:SGD;Acc:S000004804]","ENSG,ENSP"
"YGL003C","P53197","CDH1","Activator of anaphase-promoting complex/cyclosome (APC/C); antagonist of the spindle assembly checkpoint; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including: Cdc20p, Ase1p, Cin8p, Fin1p and Clb5p; partially active in metaphase, and fully active in anaphase; cell-cycle regulated [Source:SGD;Acc:S000002971]","ENSG,ENSP"
"YPL179W","P32945","PPQ1","Protein phosphatase that regulates the mating response; negatively regulates the MAP kinase signaling cascade during mating; member of the serine/threonine phosphatase PP1 family [Source:SGD;Acc:S000006100]","ENSG,ENSP"
"YCR087C-A","P37263","YCR087C-A","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; YCR087C-A is not an essential gene [Source:SGD;Acc:S000007223]","ENSG,ENSP"
"YGL082W","P53155","YGL082W","Putative protein of unknown function; predicted prenylation/proteolysis target of Afc1p and Rce1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; not an essential gene; YGL082W has a paralog, YPL191C, that arose from the whole genome duplication [Source:SGD;Acc:S000003050]","ENSG,ENSP"
"YMR092C","P46680","AIP1","Actin cortical patch component; interacts with the actin depolymerizing factor cofilin; inhibits elongation of aged ADP-actin filaments decorated with cofilin to maintain a high level of assembly-competent actin species; required to restrict cofilin localization to cortical patches; putative regulator of cytokinesis; contains WD repeats; protein increases in abundance and relocalizes from cytoplasm to plasma membrane upon DNA replication stress [Source:SGD;Acc:S000004698]","ENSG,ENSP"
"YDR202C","Q03956","RAV2","Subunit of RAVE complex (Rav1p, Rav2p, Skp1p); the RAVE complex associates with the V1 domain of the vacuolar membrane (H+)-ATPase (V-ATPase) and promotes assembly and reassembly of the holoenzyme [Source:SGD;Acc:S000002610]","ENSG,ENSP"
"YOR242C","Q08646","SSP2","Sporulation specific protein that localizes to the spore wall; required for sporulation at a point after meiosis II and during spore wall formation; expression controlled by a tightly regulated middle-meiotic promoter that is activated by Ndt80p; translation of SSP2 mRNA is delayed, such that the mRNA is present as nuclear divisions are taking place but is not engaged by ribosomes until relatively late in meiotic development [Source:SGD;Acc:S000005768]","ENSG,ENSP"
"YJL141C","P14680","YAK1","Serine-threonine protein kinase; component of a glucose-sensing system that inhibits growth in response to glucose availability; upon nutrient deprivation Yak1p phosphorylates Pop2p to regulate mRNA deadenylation, the co-repressor Crf1p to inhibit transcription of ribosomal genes, and the stress-responsive transcription factors Hsf1p and Msn2p; nuclear localization negatively regulated by the Ras/PKA signaling pathway in the presence of glucose [Source:SGD;Acc:S000003677]","ENSG,ENSP"
"YKL008C","P28496","LAC1","Ceramide synthase component; involved in synthesis of ceramide from C26(acyl)-coenzyme A and dihydrosphingosine or phytosphingosine, functionally equivalent to Lag1p; LAC1 has a paralog, LAG1, that arose from the whole genome duplication [Source:SGD;Acc:S000001491]","ENSG,ENSP"
"YER176W","P32644","ECM32","DNA dependent ATPase/DNA helicase; helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors, localized to polysomes [Source:SGD;Acc:S000000978]","ENSG,ENSP"
"YPL167C","P14284","REV3","Catalytic subunit of DNA polymerase zeta; involved in translesion synthesis during post-replication repair; required for mutagenesis induced by DNA damage; involved in double-strand break repair; forms a complex with Rev7p, Pol31p and Pol32p [Source:SGD;Acc:S000006088]","ENSG,ENSP"
"YMR282C","P22136","AEP2","Mitochondrial protein; likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader [Source:SGD;Acc:S000004895]","ENSG,ENSP"
"YLR172C","P32469","DPH5","Methyltransferase required for synthesis of diphthamide; diphthamide is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); not essential for viability; GFP-Dph5p fusion protein localizes to the cytoplasm [Source:SGD;Acc:S000004162]","ENSG,ENSP"
"YGL097W","P21827","SRM1","Nucleotide exchange factor for Gsp1p; localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p; human homolog of the RAN GEF, RCC1, can complement a temperature sensitive point mutant [Source:SGD;Acc:S000003065]","ENSG,ENSP"
"YCR030C","P25623","SYP1","Negative regulator of WASP-Arp23 complex; involved in endocytic site formation; directly inhibits Las17p stimulation of Arp23 complex-mediated actin assembly in vitro; may regulate assembly and disassembly of the septin ring; colocalizes and interacts with septin subunits; potential role in actin cytoskeletal organization [Source:SGD;Acc:S000000626]","ENSG,ENSP"
"YFR028C","Q00684","CDC14","Protein phosphatase required for mitotic exit; required for rDNA segregation, cytokinesis, meiosis I spindle disassembly, environmental stress response; held in nucleolus by Cdc55p in early meiosis, liberated by FEAR and Mitotic Exit Network in anaphase, enabling it to effect a decrease in CDK/B-cyclin activity and mitotic exit; sequestered in metaphase II, released upon entry into anaphase II; human homolog CDC14A can complement thermosensitivity of yeast cdc14-1 mutant [Source:SGD;Acc:S000001924]","ENSG,ENSP"
"YDL218W","Q07629","YDL218W","Putative protein of unknown function; YDL218W transcription is regulated by Azf1p and induced by starvation and aerobic conditions; expression also induced in cells treated with the mycotoxin patulin [Source:SGD;Acc:S000002377]","ENSG,ENSP"
"YKR083C","P36162","DAD2","Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis [Source:SGD;Acc:S000001791]","ENSG,ENSP"
"YPL259C","Q00776","APM1","Mu1-like medium subunit of the AP-1 complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting; the AP-1 complex is the clathrin-associated protein complex [Source:SGD;Acc:S000006180]","ENSG,ENSP"
"YBR230C","P38325","OM14","Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources [Source:SGD;Acc:S000000434]","ENSG,ENSP"
"YDR333C","Q05468","RQC1","Component of the ribosome quality control complex (RQC); RQC (Rqc1p-Rkr1p-Tae2p-Cdc48p-Npl4p-Ufd1p) is a ribosome-bound complex required for the degradation of polypeptides arising from stalled translation; required along with Rkr1p for recruitment of the Cdc48p-Npl4p-Ufd1p AAA ATPase complex to the RQC [Source:SGD;Acc:S000002741]","ENSG,ENSP"
"YDL017W","P06243","CDC7","DDK (Dbf4-dependent kinase) catalytic subunit; required for origin firing and replication fork progression in mitotic S phase through phosphorylation of Mcm2-7p complexes and Cdc45p; kinase activity correlates with cyclical DBF4 expression; required for pre-meiotic DNA replication, meiotic DSB formation, recruitment of monopolin complex to kinetochores during meiosis I, regulation of meiosis-specific Ndt80p; mutation complemented by human CDC7 and DBF4 co-expression [Source:SGD;Acc:S000002175]","ENSG,ENSP"
"YBR102C","P38261","EXO84","Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate [Source:SGD;Acc:S000000306]","ENSG,ENSP"
"YKL022C","P09798","CDC16","Subunit of the anaphase-promoting complex/cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; required for sporulation; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000001505]","ENSG,ENSP"
"YER114C","P39969","BOI2","Protein implicated in polar growth, functionally redundant with Boi1p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; BOI2 has a paralog, BOI1, that arose from the whole genome duplication [Source:SGD;Acc:S000000916]","ENSG,ENSP"
"YGL206C","P22137","CHC1","Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function [Source:SGD;Acc:S000003174]","ENSG,ENSP"
"YNR029C","P53729","YNR029C","Putative protein of unknown function; deletion confers reduced fitness in saline [Source:SGD;Acc:S000005312]","ENSG,ENSP"
"YOR195W","Q08581","SLK19","Kinetochore-associated protein; required for chromosome segregation and kinetochore clustering; required for normal segregation of chromosomes in meiosis and mitosis; component of the FEAR regulatory network, which promotes Cdc14p release from the nucleolus during anaphase; potential Cdc28p substrate [Source:SGD;Acc:S000005721]","ENSG,ENSP"
"YGR111W","P53265","YGR111W","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus [Source:SGD;Acc:S000003343]","ENSG,ENSP"
"YEL007W","P40002","MIT1","Transcriptional regulator of pseudohyphal growth; protein with sequence similarity to S. pombe gti1+ (gluconate transport inducer 1) and C. albicans Wor1 [Source:SGD;Acc:S000000733]","ENSG,ENSP"
"YOR128C","P21264","ADE2","Phosphoribosylaminoimidazole carboxylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine [Source:SGD;Acc:S000005654]","ENSG,ENSP"
"YDR324C","Q06679","UTP4","Subunit of U3-containing 90S preribosome and SSU processome complexes; involved in production of 18S rRNA and assembly of small ribosomal subunit; member of t-Utp subcomplex involved with transcription of 35S rRNA transcript; Small Subunit processome is also known as SSU processome [Source:SGD;Acc:S000002732]","ENSG,ENSP"
"YDR472W","Q03337","TRS31","Core component of transport protein particle (TRAPP) complexes I-III; TRAPP complexes are related multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII) [Source:SGD;Acc:S000002880]","ENSG,ENSP"
"YHR020W","P38708","YHR020W","Prolyl-tRNA synthetase; N-terminal domain shows weak homology to prokaryotic posttransfer editing domain, but does not possess posttransfer editing activity; may interact with ribosomes, based on co-purification experiments [Source:SGD;Acc:S000001062]","ENSG,ENSP"
"YHR078W","P38799","YHR078W","High osmolarity-regulated gene of unknown function [Source:SGD;Acc:S000001120]","ENSG,ENSP"
"YCR084C","P16649","TUP1","General repressor of transcription; forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes [Source:SGD;Acc:S000000680]","ENSG,ENSP"
"YHR064C","P38788","SSZ1","Hsp70 protein that interacts with Zuo1p (a DnaJ homolog); interacts with Zuo1p to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP [Source:SGD;Acc:S000001106]","ENSG,ENSP"
"YNL076W","P34072","MKS1","Pleiotropic negative transcriptional regulator; involved in Ras-CAMP and lysine biosynthetic pathways and nitrogen regulation; involved in retrograde (RTG) mitochondria-to-nucleus signaling [Source:SGD;Acc:S000005020]","ENSG,ENSP"
"YKL116C","P28708","PRR1","Serine/threonine protein kinase; inhibits pheromone induced signaling downstream of MAPK, possibly at the level of the Ste12p transcription factor [Source:SGD;Acc:S000001599]","ENSG,ENSP"
"YKL016C","P30902","ATP7","Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis [Source:SGD;Acc:S000001499]","ENSG,ENSP"
"YPR110C","P07703","RPC40","RNA polymerase subunit AC40; common to RNA polymerase I and III; predominant determinant targeting Ty1 integration upstream of Pol III-transcribed genes [Source:SGD;Acc:S000006314]","ENSG,ENSP"
"YNL002C","P40693","RLP7","Nucleolar protein similar to large ribosomal subunit L7 proteins; constituent of 66S pre-ribosomal particles; plays an essential role in processing of precursors to the large ribosomal subunit RNAs; binds junction of ITS2 and ITS2-proximal stem between the 3' end of 5.8S rRNA and the 5' end of 25S rRNA [Source:SGD;Acc:S000004947]","ENSG,ENSP"
"YOR369C","P48589","RPS12","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S12, no bacterial homolog [Source:SGD;Acc:S000005896]","ENSG,ENSP"
"YNL262W","P21951","POL2","Catalytic subunit of DNA polymerase (II) epsilon; a chromosomal DNA replication polymerase that exhibits processivity and proofreading exonuclease activity; participates in leading-strand synthesis during DNA replication; also involved in DNA synthesis during DNA repair; interacts extensively with Mrc1p [Source:SGD;Acc:S000005206]","ENSG,ENSP"
"YOL068C","P53685","HST1","NAD(+)-dependent histone deacetylase; essential subunit of the Sum1p/Rfm1p/Hst1p complex required for ORC-dependent silencing and meiotic repression; non-essential subunit of the Set3C deacetylase complex; involved in telomere maintenance; HST1 has a paralog, SIR2, that arose from the whole genome duplication [Source:SGD;Acc:S000005429]","ENSG,ENSP"
"YDL117W","Q07533","CYK3","SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants [Source:SGD;Acc:S000002275]","ENSG,ENSP"
"YKL018W","P36104","SWD2","Subunit of the COMPASS (Set1C) histone H3K4 methyltransferase complex; required for Set1C stability and optimal activity; COMPASS methylates histone H3 on lys 4 and is involved in telomeric silencing; subunit of CPF (cleavage and polyadenylation factor), a complex involved in RNAP II transcription termination [Source:SGD;Acc:S000001501]","ENSG,ENSP"
"YMR240C","Q02554","CUS1","Protein required for assembly of U2 snRNP into the spliceosome; forms a complex with Hsh49p and Hsh155p [Source:SGD;Acc:S000004853]","ENSG,ENSP"
"YIL138C","P40414","TPM2","Minor isoform of tropomyosin; binds to and stabilizes actin cables and filaments, which direct polarized cell growth and the distribution of several organelles; appears to have distinct and also overlapping functions with Tpm1p; TPM2 has a paralog, TPM1, that arose from the whole genome duplication [Source:SGD;Acc:S000001400]","ENSG,ENSP"
"YLR455W","Q06188","PDP3","Component of the NuA3b histone acetyltransferase complex; regulates interaction between NuA3b and H3K36me3 at the transcribed regions of genes; contains PWWP domain; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO); protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000004447]","ENSG,ENSP"
"YPR052C","P11632","NHP6A","High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000006256]","ENSG,ENSP"
"YIL002W-A","Q3E7Z5","YIL002W-A","Putative protein of unknown function; identified by expression profiling and mass spectrometry [Source:SGD;Acc:S000028835]","ENSG,ENSP"
"YEL065W","P39980","SIT1","Ferrioxamine B transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; transcription is induced during iron deprivation and diauxic shift; potentially phosphorylated by Cdc28p [Source:SGD;Acc:S000000791]","ENSG,ENSP"
"YDR267C","Q05583","CIA1","Component of cytosolic iron-sulfur protein assembly (CIA) machinery; acts at late step of Fe-S cluster assembly; forms CIA targeting complex with Cia2p and Met18p that directs Fe-S cluster incorporation into subset of proteins involved in methionine biosynthesis, DNA replication and repair, transcription, telomere maintenance; contains WD40 repeats; human homolog CIAO1 can complement yeast cia1 null mutant [Source:SGD;Acc:S000002675]","ENSG,ENSP"
"YKL029C","P36013","MAE1","Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids [Source:SGD;Acc:S000001512]","ENSG,ENSP"
"YPL139C","Q03010","UME1","Component of both the Rpd3S and Rpd3L histone deacetylase complexes; negative regulator of meiosis; required for repression of a subset of meiotic genes during vegetative growth, binding of histone deacetylase Rpd3p required for activity, contains a NEE box and a WD repeat motif; homologous with Wtm1p; UME1 has a paralog, WTM2, that arose from the whole genome duplication [Source:SGD;Acc:S000006060]","ENSG,ENSP"
"YCR081W","P25648","SRB8","Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression [Source:SGD;Acc:S000000677]","ENSG,ENSP"
"YEL032W","P24279","MCM3","Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex [Source:SGD;Acc:S000000758]","ENSG,ENSP"
"YOL016C","P22517","CMK2","Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to mammalian Cam Kinase II; CMK2 has a paralog, CMK1, that arose from the whole genome duplication [Source:SGD;Acc:S000005376]","ENSG,ENSP"
"YAL003W","P32471","EFB1","Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants [Source:SGD;Acc:S000000003]","ENSG,ENSP"
"YOL145C","P89105","CTR9","Component of the Paf1p complex involved in transcription elongation; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes, including cyclin genes; involved in SER3 repression by helping to maintain SRG1 transcription-dependent nucleosome occupancy; contains TPR repeats [Source:SGD;Acc:S000005505]","ENSG,ENSP"
"YPL208W","Q08961","RKM1","SET-domain lysine-N-methyltransferase; catalyzes the formation of dimethyllysine residues on the large ribosomal subunit proteins L23 (Rpl23Ap and Rpl23Bp) and monomethyllysine residues on L18 (Rps18Ap and Rps18Bp) [Source:SGD;Acc:S000006129]","ENSG,ENSP"
"YGR252W","Q03330","GCN5","Catalytic subunit of ADA and SAGA histone acetyltransferase complexes; modifies N-terminal lysines on histones H2B and H3; acetylates Rsc4p, a subunit of the RSC chromatin-remodeling complex, altering replication stress tolerance; relocalizes to the cytosol in response to hypoxia; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; greater involvement in repression of RNAPII-dependent transcription than in activation [Source:SGD;Acc:S000003484]","ENSG,ENSP"
"YDL051W","P33399","LHP1","RNA binding protein required for maturation of tRNA and U6 snRNA; acts as a molecular chaperone for RNAs transcribed by polymerase III; homologous to human La (SS-B) autoantigen [Source:SGD;Acc:S000002209]","ENSG,ENSP"
"YMR304W","P50101","UBP15","Ubiquitin-specific protease involved in protein deubiquitination; forms a complex with AAA peroxins Pex1p and Pex6p; deubiquitinates mono- and polyubiquitinated forms of Pex5p; deubiquitinates Clb5p, counteracting APC activity, and facilitating both Clb5p accumulation and S phase entry; physically interacts with anaphase-promoting complex/cyclosome (APC/C) activator, Cdh1p; catalytic activity regulated by an N-terminal TRAF-like domain and and C-terminal sequences [Source:SGD;Acc:S000004920]","ENSG,ENSP"
"YNL186W","P53874","UBP10","Ubiquitin-specific protease, deubiquitinates Ub-protein moieties; interacts with proteins that function in rRNA production and ribosome biogenesis via its intrinsically disordered regions; stabilizes Rpa190p by deubiquitination; controls PCNA deubiquitylation; may regulate silencing by acting on Sir4p; involved in posttranscriptionally regulating Gap1p, possibly other transporters; localized to the nucleolus; null mutant phenotypes are functionally complemented by human USP36 [Source:SGD;Acc:S000005130]","ENSG,ENSP"
"YJR091C","P47135","JSN1","Member of the Puf family of RNA-binding proteins; interacts with mRNAs encoding membrane-associated proteins; involved in localizing the Arp2/3 complex to mitochondria; overexpression causes increased sensitivity to benomyl; JSN1 has a paralog, PUF2, that arose from the whole genome duplication [Source:SGD;Acc:S000003851]","ENSG,ENSP"
"YPL036W","P19657","PMA2","Plasma membrane H+-ATPase; isoform of Pma1p, involved in pumping protons out of the cell; regulator of cytoplasmic pH and plasma membrane potential [Source:SGD;Acc:S000005957]","ENSG,ENSP"
"YHR035W","P38769","NEL1","Activator of Sar1p GTPase activity; paralog of Sec23 but does not associate with the COPII components; not an essential gene [Source:SGD;Acc:S000001077]","ENSG,ENSP"
"YMR080C","P30771","NAM7","ATP-dependent RNA helicase of the SFI superfamily; involved in nonsense mediated mRNA decay; required for efficient translation termination at nonsense codons and targeting of NMD substrates to P-bodies; binds to the small ribosomal subunit via an interaction with Rps26; forms cytoplasmic foci upon DNA replication stress [Source:SGD;Acc:S000004685]","ENSG,ENSP"
"YFR003C","P43587","YPI1","Regulatory subunit of the type I protein phosphatase (PP1) Glc7p; Glc7p participates in the regulation of a variety of metabolic processes including mitosis and glycogen metabolism; in vitro evidence suggests Ypi1p is an inhibitor of Glc7p while in vivo evidence suggests it is an activator; overproduction causes decreased cellular content of glycogen; partial depletion causes lithium sensitivity, while overproduction confers lithium-tolerance [Source:SGD;Acc:S000001899]","ENSG,ENSP"
"YHR082C","P38691","KSP1","Serine/threonine protein kinase; associates with TORC1 and likely involved in TOR signaling cascades; negative regulator of autophagy; nuclear translocation required for haploid filamentous growth; regulates filamentous growth induced nuclear translocation of Bcy1p, Fus3p, and Sks1p; overproduction causes allele-specific suppression of prp20-10; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001124]","ENSG,ENSP"
"YPL263C","Q08979","KEL3","Cytoplasmic protein of unknown function [Source:SGD;Acc:S000006184]","ENSG,ENSP"
"YMR048W","Q04659","CSM3","Replication fork associated factor; required for stable replication fork pausing; component of the DNA replication checkpoint pathway; required for accurate chromosome segregation during meiosis; forms nuclear foci upon DNA replication stress [Source:SGD;Acc:S000004651]","ENSG,ENSP"
"YNL119W","P53923","NCS2","Protein required for uridine thiolation of Lys(UUU) and Glu(UUC) tRNAs; required for the thiolation of uridine at the wobble position of Lys(UUU) and Glu(UUC) tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae [Source:SGD;Acc:S000005063]","ENSG,ENSP"
"YCL027W","P11710","FUS1","Membrane protein localized to the shmoo tip; required for cell fusion; expression regulated by mating pheromone; proposed to coordinate signaling, fusion, and polarization events required for fusion; potential Cdc28p substrate [Source:SGD;Acc:S000000532]","ENSG,ENSP"
"YPL015C","P53686","HST2","Cytoplasmic NAD(+)-dependent protein deacetylase; deacetylation targets are primarily cytoplasmic proteins; member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase activity in vitro; contains a nuclear export signal (NES); function regulated by its nuclear export [Source:SGD;Acc:S000005936]","ENSG,ENSP"
"YNL008C","P53983","ASI3","Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi1p and Asi2p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p, maintaining the repressed state of gene expression in the absence of inducing amino acids [Source:SGD;Acc:S000004953]","ENSG,ENSP"
"YOL143C","P50861","RIB4","Lumazine synthase (DMRL synthase); catalyzes synthesis of immediate precursor to riboflavin; DMRL synthase stands for 6,7-dimethyl-8-ribityllumazine synthase [Source:SGD;Acc:S000005503]","ENSG,ENSP"
"YPL183C","Q08924","RTT10","WD40 domain-containing protein involved in endosomal recycling; forms a complex with Rrt2p that functions in the retromer-mediated pathway for recycling internalized cell-surface proteins; interacts with Trm7p for 2'-O-methylation of N34 of substrate tRNAs; has a role in regulation of Ty1 transposition; human ortholog is WDR6 [Source:SGD;Acc:S000006104]","ENSG,ENSP"
"YMR042W","P07249","ARG80","Transcription factor involved in regulating arginine-responsive genes; acts with Arg81p and Arg82p [Source:SGD;Acc:S000004645]","ENSG,ENSP"
